Issue Number,Title,State,Created At,Updated At,URL
95,[Feature] Add Group-Size adjusted False Positives and False Negatives columns to get_crosstabs method,open,2020-10-21T11:08:21Z,2020-10-21T11:08:21Z,https://github.com/dssg/aequitas/issues/95
94,[Feature] Expose the required cols in get_crosstabs signature,open,2020-08-23T23:49:25Z,2020-08-23T23:49:25Z,https://github.com/dssg/aequitas/issues/94
91,fix missing condition for label_score_ref,open,2020-08-02T19:29:50Z,2020-08-02T19:29:50Z,https://github.com/dssg/aequitas/pull/91
90,Absolute vs. relative disparity and the implications for fairness results,open,2020-07-24T09:30:43Z,2020-07-29T12:48:51Z,https://github.com/dssg/aequitas/issues/90
89,Confusion of Statistical Parity and Impact Parity?,open,2020-07-24T09:01:37Z,2020-07-24T09:07:09Z,https://github.com/dssg/aequitas/issues/89
87,Details on how significance is calculated?,open,2020-07-17T09:09:59Z,2020-07-29T08:18:53Z,https://github.com/dssg/aequitas/issues/87
86,[Error] get_disparity_predefined_group() raises AttributeError,open,2020-07-09T09:33:12Z,2021-03-19T10:29:56Z,https://github.com/dssg/aequitas/issues/86
85,Question: Can we use the fairness tree for regression tasks?,open,2020-07-08T06:37:17Z,2020-07-08T06:37:17Z,https://github.com/dssg/aequitas/issues/85
Issue Number,Title,State,Created At,Updated At,URL
42,Consider Rewording Your Description,open,2020-02-27T21:43:52Z,2020-02-27T21:43:52Z,https://github.com/cosmicBboy/themis-ml/issues/42
41,ACF algo,open,2019-05-20T16:41:03Z,2021-04-20T10:21:23Z,https://github.com/cosmicBboy/themis-ml/issues/41
40,Fair ANN with adversarial networks,open,2018-10-12T16:54:04Z,2018-10-12T16:54:04Z,https://github.com/cosmicBboy/themis-ml/issues/40
32,Add docstrings to the data_types classes,open,2017-10-02T00:29:10Z,2017-10-02T00:29:10Z,https://github.com/cosmicBboy/themis-ml/issues/32
30,Add logo to favicon and upper left navigation home button,open,2017-09-30T19:26:05Z,2017-09-30T19:26:05Z,https://github.com/cosmicBboy/themis-ml/issues/30
29,Add data from Bureau of Labor Statistics wage data,open,2017-09-30T19:16:26Z,2017-09-30T19:16:26Z,https://github.com/cosmicBboy/themis-ml/issues/29
